x,Curve1
"10,0086","1,7191"
"10,5501","1,75855"
"11,3524","1,80703"
"11,9667","1,84849"
"13,055","1,91243"
"13,7613","1,95632"
"15,0474","2,0286"
"15,8612","2,06569"
"16,0441","2,07983"
"16,912","2,1227"
"17,8268","2,16645"
"18,6199","2,20612"
"19,6272","2,25159"
"20,0363","2,27732"
"21,1199","2,31895"
"24,0657","2,4431"
"25,3675","2,49346"
"28,1866","2,60325"
"29,7114","2,65691"
"30,1228","2,67507"
"31,7523","2,73021"
"33,9329","2,79913"
"35,769","2,86336"
"36,1814","2,88295"
"38,1378","2,92896"
"40,386","3,00298"
"42,5712","3,07189"
"44,874","3,1352"
"47,519","3,2071"
"51,383","3,30841"
